round,cosine_sim
0.0000,0.4557
1.0000,0.5447
2.0000,0.0620
3.0000,0.0239
4.0000,0.0087
5.0000,0.0188
6.0000,0.0026
7.0000,0.0023
8.0000,0.0020
9.0000,0.0018
10.0000,0.1588
11.0000,0.0007
12.0000,0.0041
13.0000,0.0009
14.0000,0.0152
15.0000,0.0014
16.0000,0.0005
17.0000,0.0010
18.0000,0.0015
19.0000,0.0004
20.0000,0.3519
21.0000,0.0023
22.0000,0.0005
23.0000,0.0005
24.0000,0.0006
25.0000,0.0004
26.0000,0.0008
27.0000,0.0005
28.0000,0.0009
29.0000,0.0005
30.0000,0.2471
31.0000,0.0023
32.0000,0.0012
33.0000,0.0004
34.0000,0.0012
35.0000,0.0003
36.0000,0.0053
37.0000,0.0012
38.0000,0.0016
39.0000,0.0008
40.0000,0.6417
41.0000,0.0005
42.0000,0.0006
43.0000,0.0001
44.0000,0.0007
45.0000,0.0009
46.0000,0.0031
47.0000,0.0009
48.0000,0.0004
49.0000,0.0004
50.0000,0.3773
51.0000,0.0002
52.0000,0.0002
53.0000,0.0001
54.0000,0.0006
55.0000,0.0003
56.0000,0.0001
57.0000,0.0001
58.0000,0.0003
59.0000,0.0002
60.0000,0.3105
61.0000,0.0009
62.0000,0.0005
63.0000,0.0004
64.0000,0.0002
65.0000,0.0001
66.0000,0.0001
67.0000,0.0001
68.0000,0.0001
69.0000,0.0002
70.0000,0.2716
71.0000,0.0012
72.0000,0.0004
73.0000,0.0001
74.0000,0.0003
75.0000,0.0003
76.0000,0.0003
77.0000,0.0003
78.0000,0.0001
79.0000,0.0003
80.0000,0.3615
81.0000,0.0002
82.0000,0.0005
83.0000,0.0005
84.0000,0.0004
85.0000,0.0003
86.0000,0.0013
87.0000,0.0005
88.0000,0.0069
89.0000,0.0002
90.0000,0.3665
91.0000,0.0002
92.0000,0.0002
93.0000,0.0000
94.0000,0.0000
95.0000,0.0001
96.0000,0.0002
97.0000,0.0001
98.0000,0.0005
99.0000,0.0002
