round,cosine_ensemble_sim
1.0000,0.5123
2.0000,0.4578
3.0000,0.3641
4.0000,0.3047
5.0000,0.3316
6.0000,0.3290
7.0000,0.3508
8.0000,0.3427
9.0000,0.3450
10.0000,0.2496
11.0000,0.1961
12.0000,0.1768
13.0000,0.1813
14.0000,0.1993
15.0000,0.2957
16.0000,0.2907
17.0000,0.3805
18.0000,0.3068
19.0000,0.2412
20.0000,0.1250
21.0000,0.1192
22.0000,0.0777
23.0000,0.0937
24.0000,0.1082
25.0000,0.1493
26.0000,0.1431
27.0000,0.1527
28.0000,0.1546
29.0000,0.1346
30.0000,0.1266
31.0000,0.1023
32.0000,0.1557
33.0000,0.1540
34.0000,0.1462
35.0000,0.2698
36.0000,0.2637
37.0000,0.2375
38.0000,0.3524
39.0000,0.4268
40.0000,0.4546
41.0000,0.4288
42.0000,0.4324
43.0000,0.3062
44.0000,0.2209
45.0000,0.1166
46.0000,0.0965
47.0000,0.1057
48.0000,0.1198
49.0000,0.1506
50.0000,0.1822
51.0000,0.2034
52.0000,0.2370
53.0000,0.1616
54.0000,0.1304
55.0000,0.1265
56.0000,0.1371
57.0000,0.1188
58.0000,0.1201
59.0000,0.1145
60.0000,0.0954
61.0000,0.0901
62.0000,0.0679
63.0000,0.0656
64.0000,0.0653
65.0000,0.0644
66.0000,0.0889
67.0000,0.1113
68.0000,0.1225
69.0000,0.1272
70.0000,0.1427
71.0000,0.1485
72.0000,0.1378
73.0000,0.1802
74.0000,0.1939
75.0000,0.3039
76.0000,0.2427
77.0000,0.1903
78.0000,0.1649
79.0000,0.2230
80.0000,0.1689
81.0000,0.1587
82.0000,0.1292
83.0000,0.1349
84.0000,0.1235
85.0000,0.2157
86.0000,0.3357
87.0000,0.4885
88.0000,0.5040
89.0000,0.4039
90.0000,0.2663
91.0000,0.1377
92.0000,0.0634
93.0000,0.0729
94.0000,0.0635
95.0000,0.0550
96.0000,0.0511
97.0000,0.0685
98.0000,0.1110
99.0000,0.1458
