round,cosine_sim
0.0000,0.4563
1.0000,0.5324
2.0000,0.3225
3.0000,0.1986
4.0000,0.0951
5.0000,0.1178
6.0000,0.1398
7.0000,0.1140
8.0000,0.0374
9.0000,0.1078
10.0000,0.2275
11.0000,0.0778
12.0000,0.0647
13.0000,0.0426
14.0000,0.0641
15.0000,0.0605
16.0000,0.0265
17.0000,0.0353
18.0000,0.0376
19.0000,0.0105
20.0000,0.0886
21.0000,0.0314
22.0000,0.0563
23.0000,0.0444
24.0000,0.0761
25.0000,0.0135
26.0000,0.0590
27.0000,0.0375
28.0000,0.0929
29.0000,0.0417
30.0000,0.1033
31.0000,0.0273
32.0000,0.0344
33.0000,0.0209
34.0000,0.0216
35.0000,0.0192
36.0000,0.0220
37.0000,0.0409
38.0000,0.0113
39.0000,0.0181
40.0000,0.6277
41.0000,0.0228
42.0000,0.0162
43.0000,0.0246
44.0000,0.0146
45.0000,0.0136
46.0000,0.0072
47.0000,0.0351
48.0000,0.0081
49.0000,0.0091
50.0000,0.2090
51.0000,0.0076
52.0000,0.0130
53.0000,0.0037
54.0000,0.0223
55.0000,0.0130
56.0000,0.0232
57.0000,0.0066
58.0000,0.0050
59.0000,0.0213
60.0000,0.0411
61.0000,0.0097
62.0000,0.0070
63.0000,0.0173
64.0000,0.0087
65.0000,0.0049
66.0000,0.0032
67.0000,0.0078
68.0000,0.0261
69.0000,0.0063
70.0000,0.0676
71.0000,0.0200
72.0000,0.0148
73.0000,0.0165
74.0000,0.0089
75.0000,0.0147
76.0000,0.0296
77.0000,0.0105
78.0000,0.0052
79.0000,0.0106
80.0000,0.1508
81.0000,0.0156
82.0000,0.0042
83.0000,0.0059
84.0000,0.0042
85.0000,0.0130
86.0000,0.0055
87.0000,0.0187
88.0000,0.0118
89.0000,0.0075
90.0000,0.0709
91.0000,0.0079
92.0000,0.0027
93.0000,0.0164
94.0000,0.0279
95.0000,0.0073
96.0000,0.0046
97.0000,0.0134
98.0000,0.0258
99.0000,0.0066
