cosine_sim,student_norm,teacher_norm
0.9807,24.6585,25.3225
0.9758,24.7299,24.9329
0.9642,24.9487,25.1333
0.9619,25.0640,24.8953
0.9622,25.1585,24.6654
0.9591,25.1478,25.6019
0.9659,24.9362,25.1125
0.9692,25.0493,25.7190
0.9576,24.8409,25.4697
0.9507,25.0424,25.5833
0.9540,24.8748,26.2336
0.9656,24.9232,26.7261
0.9582,24.9859,24.6841
0.9479,24.9519,25.4587
0.9430,24.9666,26.2990
0.9461,24.9736,25.9784
0.9628,25.3699,25.2619
0.9382,24.8653,26.5051
0.9564,24.9971,25.4764
0.9449,24.9681,25.8467
0.9423,24.8108,26.3409
0.9637,24.8372,25.5100
0.9594,24.9753,26.4873
0.9627,25.1816,24.7397
0.9378,25.0844,26.3398
0.9405,25.1059,24.0725
0.9511,24.9464,25.0318
0.9592,25.0170,25.4823
0.9589,25.0902,26.1692
0.9506,24.8872,26.9763
0.9519,24.7640,26.1534
0.9474,24.9271,25.3124
0.9599,25.0129,27.1060
0.9333,25.0405,25.1446
0.9505,25.0023,25.6655
0.9402,24.8181,25.6066
0.9211,24.8402,25.5958
0.9736,25.0524,25.0333
0.9406,25.3158,25.0864
0.9508,25.0295,24.5509
0.9375,24.9784,24.6172
0.9547,24.9243,24.2907
0.9694,24.9817,25.1268
0.9577,24.9664,23.7217
0.9682,24.8766,25.1047
0.9555,24.7845,25.1927
0.9492,25.2932,25.4472
0.9737,24.8987,25.8649
0.9707,24.8032,25.5776
0.9646,24.8465,25.4470
0.9568,24.9064,26.9240
0.9650,24.9394,24.4286
0.9823,25.0274,26.1694
0.9772,25.0112,25.5459
0.9660,24.8172,25.6272
0.9710,24.9840,24.5126
0.9596,24.8221,24.6470
0.9639,25.1062,24.9785
0.9765,24.9323,25.0196
0.9642,24.9417,25.0674
0.9667,25.0930,25.6296
0.9730,24.8326,25.6522
0.9668,24.8375,25.8994
0.9683,25.1058,26.2345
0.9728,24.9821,25.5130
0.9643,25.0295,25.9628
0.9655,24.8000,26.4759
0.9589,25.1516,25.5618
0.9674,25.0983,25.8092
0.9714,24.9449,26.2734
0.9690,25.0563,25.7264
0.9665,24.9383,26.7841
0.9625,24.8457,26.3902
0.9730,25.0842,26.0136
0.9713,24.8962,25.3611
0.9777,24.8642,26.2189
0.9712,24.8811,26.4237
0.9674,25.0954,26.1683
0.9665,25.2193,25.2263
0.9692,25.0379,25.7876
0.9735,25.1355,25.6180
0.9664,25.0067,26.0620
0.9674,25.1731,26.4424
0.9650,24.8765,25.6246
0.9732,24.8638,25.4402
