client,round,global_local_cosine_sim
1,0,0.749591
1,10,0.943798
1,20,0.972418
1,30,0.972413
1,40,0.977563
1,50,0.994199
1,60,0.978947
1,70,0.992706
1,80,0.975921
1,90,0.992495
