cosine_sim,student_norm,teacher_norm
0.9447,29.5140,29.4381
0.9554,29.5214,32.0964
0.9516,29.5824,30.9011
0.9577,29.4233,29.7913
0.9466,29.5211,30.9147
0.9479,29.3263,29.5236
0.9429,29.5466,30.8353
0.9549,29.3413,30.5801
0.9475,29.6271,32.6834
0.9445,29.5468,30.8238
0.9455,29.5524,31.0163
0.9393,29.5375,31.6177
0.9167,29.2753,32.4928
0.9527,29.2162,30.1520
0.9334,29.0965,30.1482
0.9559,29.4101,31.3610
0.9445,29.5968,30.8570
0.9613,29.4435,30.9965
0.9447,29.4385,30.3349
0.9307,29.4140,30.2620
0.9539,29.4899,31.3809
0.9521,29.3105,30.7985
0.9316,29.2686,31.7145
0.9552,29.4211,30.2059
0.9148,29.5004,32.1660
0.9478,29.3890,30.8333
0.9460,29.2915,31.7770
0.9497,29.4467,31.7869
0.9461,29.4671,33.0162
0.9605,29.4406,32.3711
0.9423,29.4653,32.0165
0.9555,29.3818,31.5965
0.9650,29.3928,30.8478
0.9705,29.5231,29.9335
0.9594,29.3719,30.2739
0.9539,29.3177,30.8185
0.9547,29.2588,29.9801
0.9635,29.3186,31.6031
0.9588,29.2879,30.9848
0.9597,29.4057,30.3420
0.9450,29.2727,30.7003
0.9632,29.2702,30.3262
0.9525,29.4493,32.4941
0.9677,29.4519,30.5400
0.9645,29.2074,30.2945
0.9703,29.5062,30.7389
0.9710,29.5507,31.4107
0.9728,29.3456,29.4488
0.9597,29.2791,30.4010
0.9694,29.6860,30.2371
0.9729,29.5366,30.4658
0.9672,29.4084,29.3941
0.9665,29.4213,29.5865
0.9688,29.2757,30.4158
0.9536,29.3233,31.6888
0.9611,29.4628,28.9605
0.9730,29.4939,30.2134
0.9594,29.2758,28.7458
0.9710,29.3256,29.4044
0.9648,29.4144,31.3586
0.9647,29.1048,28.9422
0.9655,29.3811,30.9101
0.9672,29.2726,30.5693
0.9610,29.4635,29.3079
0.9567,29.4152,31.1002
0.9563,29.4305,30.1459
0.9652,29.3555,30.7154
0.9524,29.2896,30.5238
0.9655,29.3247,30.5259
0.9602,29.4087,30.8852
0.9620,29.4226,30.0889
0.9543,29.4482,31.3199
0.9630,29.2687,29.7360
0.9679,29.4294,29.4790
0.9615,29.2392,30.1943
0.9596,29.2568,31.2850
0.9561,29.2808,31.7278
0.9503,29.4230,30.1716
0.9555,29.1783,29.7796
0.9682,29.3392,30.4208
0.9650,29.5241,30.1998
0.9559,29.3104,30.4723
0.9598,29.0451,29.8874
0.9541,29.3984,31.2760
0.9351,29.1113,30.0834
0.9654,29.2903,30.2605
