timestamp,dataset,rank1,mAP,valid_queries,loss
2025-07-17 07:58:46,0,1.0000,0.8896,20,0.0000
2025-07-17 07:59:14,1,0.1333,0.2068,30,0.0000
2025-07-17 07:59:40,2,1.0000,0.9907,30,0.0000
