timestamp,dataset,rank1,mAP,loss
2025-07-29 15:30:59,0,0.4000,0.2910,0.0000
2025-07-29 16:20:22,0,0.4667,0.3421,0.0000
2025-07-29 17:17:39,0,0.4833,0.3667,0.0000
2025-07-29 18:11:11,0,0.5333,0.3894,0.0000
2025-07-29 19:09:08,0,0.5333,0.4076,0.0000
