cosine_sim,student_norm,teacher_norm
0.9030,29.4911,29.4924
0.9077,29.6678,29.9605
0.9097,29.4412,29.8467
0.9134,29.4863,30.0362
0.9069,29.3025,32.6166
0.9086,29.2480,33.0160
0.9205,29.3770,29.1889
0.9075,29.3842,29.8242
0.9289,29.4616,31.9010
0.9110,29.2090,29.8900
0.9207,29.5738,31.7571
0.9207,29.4911,30.8528
0.9319,29.5800,29.7685
0.9284,29.4760,29.7573
0.9191,29.5942,29.5471
0.9287,29.3170,30.6644
0.9343,29.3595,29.8641
0.9285,29.4209,31.0359
0.9244,29.6875,31.3694
0.9330,29.3970,30.8449
0.9355,29.5451,29.7421
0.9491,29.5002,30.7067
0.9483,29.4663,30.5791
0.9481,29.6181,30.7298
0.9528,29.4967,31.6119
0.9474,29.3392,31.6447
0.9501,29.5210,32.1921
0.9473,29.3946,29.7155
0.9349,29.6277,32.2505
0.9558,29.4980,31.4670
0.9586,29.6310,31.1480
0.9501,29.4107,30.9389
0.9366,29.3164,29.3558
0.9425,29.1852,30.6523
0.9484,29.3579,30.2968
0.9502,29.2865,30.6021
0.9409,29.4831,31.3949
0.9451,29.4727,30.3060
0.9589,29.2862,31.5542
0.9531,29.2676,30.5362
0.9553,29.3509,30.5317
0.9522,29.2414,31.0473
0.9445,29.3573,32.7092
0.9421,29.4301,31.6622
0.9367,29.3484,29.5367
0.9528,29.2749,30.4446
0.9404,29.4859,32.1876
0.9333,29.4061,31.7749
0.9377,29.3255,30.6467
0.9401,29.4936,31.2792
0.9451,29.4474,32.1552
0.9522,29.3526,30.7043
0.9469,29.4461,31.7896
0.9448,29.5239,31.6794
0.9417,29.3931,30.8008
0.9468,29.5599,31.2640
0.9413,29.4269,31.4983
0.9614,29.6084,32.0426
0.9447,29.4896,31.4209
0.9413,29.4776,30.1786
0.9582,29.3702,31.7826
0.9501,29.4320,30.5828
0.9552,29.4278,30.9925
0.9578,29.4260,29.6323
0.9579,29.3150,29.7531
0.9697,29.6148,31.8133
0.9493,29.5157,30.2114
0.9620,29.4913,30.3893
0.9592,29.4170,30.1336
0.9605,29.3519,29.8580
0.9531,29.5288,31.7780
0.9676,29.3972,30.1574
0.9636,29.4082,29.7306
0.9584,29.4570,31.1678
0.9518,29.3211,30.9040
0.9583,29.3431,31.9772
0.9656,29.5136,31.0635
0.9684,29.5588,30.2463
0.9644,29.4110,31.6540
0.9659,29.4801,30.3515
0.9597,29.4458,31.2682
0.9657,29.4914,31.0863
0.9534,29.2829,30.2397
0.9629,29.3432,29.8561
0.9553,29.2396,31.8252
0.9643,29.3711,28.8191
0.9697,29.4307,30.3671
0.9653,29.3958,30.4693
0.9685,29.4133,30.6666
0.9625,29.4756,31.0296
0.9621,29.4740,29.6574
0.9680,29.4447,30.6320
0.9746,29.3914,29.8833
0.9658,29.3802,30.2256
0.9601,29.2596,29.5264
0.9540,29.2400,31.5569
0.9510,29.3088,31.3329
0.9444,29.3049,30.3542
0.9590,29.3897,28.6568
0.9662,29.3752,29.0724
0.9502,29.2560,31.0434
0.9623,29.3461,29.4262
0.9651,29.3004,30.4169
0.9581,29.2661,29.5662
0.9557,29.3972,30.7669
0.9535,29.3666,32.0358
0.9382,29.3949,30.8729
0.9628,29.5279,30.3053
0.9515,29.2701,31.0424
0.9561,29.4639,30.1291
0.9733,29.5944,29.5377
0.9572,29.3011,30.6504
0.9666,29.2271,29.6068
0.9692,29.4837,30.0596
0.9655,29.3702,29.9787
0.9563,29.2607,31.3830
0.9555,29.3261,30.7942
0.9376,29.3367,29.8322
0.9571,29.2783,31.6680
0.9528,29.4887,32.2044
0.9494,29.3611,30.8792
0.9535,29.1522,29.0913
0.9564,29.2230,31.4496
0.9554,29.5658,31.5547
0.9456,29.2777,30.6208
0.9469,29.4958,31.4427
0.9475,29.3517,30.8487
0.9679,29.3797,32.0350
0.9605,29.6009,31.9705
0.9629,29.1665,30.8811
0.9392,29.5088,31.6125
0.9646,29.3875,31.2997
0.9518,29.2741,30.3144
0.9612,29.4242,29.8353
0.9326,29.1906,31.1354
0.9532,29.2430,30.6657
0.9503,29.4254,32.2491
0.9393,29.3937,33.0402
0.9381,29.4452,31.7556
0.9518,29.3038,31.2198
0.9501,29.3171,31.5393
0.9484,29.2541,31.4785
0.9497,29.2698,32.0766
0.9442,29.3844,32.5570
0.9530,29.3223,31.8690
0.9592,29.4113,30.8101
0.9562,29.4098,32.0577
0.9499,29.4849,31.1488
0.9526,29.3828,32.2993
0.9551,29.2262,31.2341
0.9630,29.5549,30.8351
0.9569,29.1164,30.9186
0.9525,29.4329,31.4522
0.9482,29.2407,31.3073
0.9632,29.5620,29.4724
0.9664,29.5704,31.1266
0.9647,29.3081,31.3528
0.9696,29.3923,30.2247
0.9577,29.2217,29.4515
0.9673,29.3455,29.4124
0.9628,29.4111,30.7366
0.9478,29.3760,31.0292
0.9742,29.5012,31.2123
0.9502,29.1749,31.9251
0.9593,29.4001,32.2615
0.9480,29.4323,32.8218
0.9580,29.2495,31.9219
0.9455,29.2614,30.5703
0.9549,29.4311,32.4019
0.9375,29.1963,31.2342
0.9541,29.5530,32.7497
0.9492,29.3111,31.3836
0.9626,29.2941,31.5236
0.9522,29.3597,32.1209
0.9428,29.1628,31.6903
0.9548,29.4159,30.8112
0.9418,29.3834,31.3582
0.9560,29.4671,32.3330
0.9618,29.4162,30.8451
0.9639,29.1848,30.6371
0.9374,29.2889,30.5703
0.9621,29.5318,31.0358
0.9659,29.4043,31.5301
0.9514,29.5738,32.0070
0.9616,29.2466,30.4918
0.9529,29.1899,29.7776
0.9538,29.2160,32.3562
0.9549,29.4710,32.7328
0.9585,29.4937,31.1914
0.9677,29.3798,30.7153
0.9505,29.1800,30.7349
0.9591,29.3755,31.2905
0.9591,29.4350,30.7384
0.9513,29.3231,31.1627
0.9701,29.4389,30.7150
0.9635,29.2829,31.1775
0.9544,29.3662,31.3208
0.9679,29.3538,30.9979
0.9698,29.4592,30.7816
0.9658,29.4019,29.7818
0.9775,29.4687,31.0988
0.9606,29.3954,30.9295
0.9607,29.2872,30.0352
0.9519,29.1132,30.3358
0.9650,29.2464,30.1512
0.9507,29.2601,30.0142
0.9703,29.2531,29.7807
0.9600,29.3825,29.5461
0.9571,29.0780,31.2525
0.9666,29.2490,30.0273
0.9599,29.2673,30.3392
0.9571,29.2601,29.2034
0.9666,29.2094,30.2696
0.9665,29.3093,29.9686
0.9555,29.3699,30.9781
0.9589,29.3616,30.2244
