cosine_sim,student_norm,teacher_norm
0.9358,29.1961,28.6434
0.9096,29.1545,27.6135
0.9199,29.1420,28.8782
0.8465,29.1917,25.9297
0.8503,28.7610,28.5409
0.8707,29.3695,29.0065
0.8443,29.1394,26.7864
0.9367,29.2495,29.8287
0.8902,28.8380,27.5291
0.8780,29.0081,27.7290
0.8944,29.2092,29.9465
0.8470,29.1400,27.9387
0.8306,29.5156,26.5326
0.9259,29.2703,30.2221
0.9299,29.3137,32.1331
0.9043,29.2754,28.5593
0.9004,29.3464,29.6967
0.8353,29.3855,27.5527
0.8883,29.4758,31.1893
0.8745,29.4655,31.2300
0.9270,29.3857,29.2374
0.9217,29.5523,30.4952
0.9213,29.4461,30.4764
0.8804,29.3851,29.2994
0.8955,29.6332,30.6140
0.8816,29.5509,29.4788
0.9370,29.2798,32.7306
0.9305,29.3110,30.2902
0.9188,29.5017,29.9963
0.9025,29.6077,30.4720
0.8927,29.5524,29.1883
0.8999,29.4768,29.4294
0.9278,29.4226,30.6312
0.9344,29.4710,30.6448
0.9146,29.4513,31.7446
0.9076,29.5778,31.2466
0.9074,29.6682,31.2262
0.9020,29.7540,29.9447
0.8750,29.4767,29.3000
0.9432,29.5897,30.9510
0.9213,29.3988,31.1112
0.9331,29.7141,30.7630
0.9196,29.8275,33.0121
0.8944,29.4405,29.0260
0.8942,29.5292,29.5143
0.9422,29.6760,30.6249
0.9288,29.4231,29.6816
0.9312,29.6489,29.6268
0.9226,29.5177,30.3030
0.9146,29.5438,32.4245
0.8983,29.7870,28.7662
0.9158,29.6180,31.7207
0.9383,29.5047,30.2538
0.9334,29.4777,30.9219
0.9183,29.5256,30.2925
0.9148,29.6468,30.1300
0.9084,29.5040,30.7998
0.9077,29.6157,30.2588
0.9189,29.7604,28.8579
0.9338,29.5909,28.9872
0.9203,29.6008,30.0038
0.9129,29.6670,31.6669
0.9253,29.6834,30.4531
0.9109,29.7537,29.9286
0.9356,29.7727,31.2424
0.9292,29.6682,30.1873
0.9216,29.7427,29.2276
0.9264,29.6664,29.6180
0.8975,29.6924,28.1889
0.8872,29.6738,29.6154
0.9010,29.7617,31.6251
0.9371,29.6487,29.9256
0.9163,29.5039,29.8273
0.8982,29.7299,29.1101
0.9182,29.5163,29.5545
0.9158,29.9129,32.8673
0.8579,29.6326,28.2921
0.9419,29.6101,32.0732
0.9395,29.6483,33.0362
0.9222,29.6944,32.0633
0.8845,29.6070,29.1621
0.8999,29.8250,31.6585
0.9178,29.7365,29.8541
0.9167,29.9093,32.7106
0.9334,29.7076,29.4518
0.9176,29.5486,29.7533
0.9115,29.5774,30.6599
