round,cosine_sim
0.0000,0.5485
1.0000,0.4957
2.0000,0.0003
3.0000,0.0002
4.0000,0.0007
5.0000,0.0009
6.0000,0.0009
7.0000,0.0008
8.0000,0.0020
9.0000,0.0015
10.0000,0.5329
11.0000,0.0011
12.0000,0.0029
13.0000,0.0020
14.0000,0.0018
15.0000,0.0023
16.0000,0.0020
17.0000,0.0021
18.0000,0.0016
19.0000,0.0017
20.0000,0.4682
21.0000,0.0032
22.0000,0.0038
23.0000,0.0034
24.0000,0.0032
25.0000,0.0023
26.0000,0.0044
27.0000,0.0041
28.0000,0.0039
29.0000,0.0018
30.0000,0.5409
31.0000,0.0047
32.0000,0.0079
33.0000,0.0017
34.0000,0.0070
35.0000,0.0025
36.0000,0.0032
37.0000,0.0026
38.0000,0.0020
39.0000,0.0021
40.0000,0.5124
41.0000,0.0026
42.0000,0.0039
43.0000,0.0033
44.0000,0.0030
45.0000,0.0088
46.0000,0.0035
47.0000,0.0057
48.0000,0.0027
49.0000,0.0015
50.0000,0.1859
51.0000,0.0028
52.0000,0.0033
53.0000,0.0034
54.0000,0.0017
55.0000,0.0027
56.0000,0.0044
57.0000,0.0026
58.0000,0.0022
59.0000,0.0032
60.0000,0.5323
61.0000,0.0016
62.0000,0.0023
63.0000,0.0043
64.0000,0.0014
65.0000,0.0026
66.0000,0.0042
67.0000,0.0048
68.0000,0.0025
69.0000,0.0028
