round,cosine_ensemble_sim
1.0000,0.5092
2.0000,0.5111
3.0000,0.4575
4.0000,0.4616
5.0000,0.4184
6.0000,0.4060
7.0000,0.4567
8.0000,0.4253
9.0000,0.4424
10.0000,0.4685
11.0000,0.4898
12.0000,0.5055
13.0000,0.4456
14.0000,0.3745
15.0000,0.2604
16.0000,0.2827
17.0000,0.3629
18.0000,0.4380
19.0000,0.4643
20.0000,0.4693
21.0000,0.4711
22.0000,0.4739
23.0000,0.5176
24.0000,0.4937
25.0000,0.4956
26.0000,0.4423
27.0000,0.4119
28.0000,0.4708
29.0000,0.4785
30.0000,0.5323
31.0000,0.5351
32.0000,0.4871
33.0000,0.4204
34.0000,0.3674
35.0000,0.2578
36.0000,0.1707
37.0000,0.1339
38.0000,0.1177
39.0000,0.2553
40.0000,0.3182
41.0000,0.4139
42.0000,0.4817
43.0000,0.4889
44.0000,0.4761
45.0000,0.4187
46.0000,0.4112
47.0000,0.4589
48.0000,0.4226
49.0000,0.4188
50.0000,0.3600
51.0000,0.2515
52.0000,0.2963
53.0000,0.3686
54.0000,0.4389
55.0000,0.4953
56.0000,0.4661
57.0000,0.4401
58.0000,0.4474
59.0000,0.4465
60.0000,0.4752
61.0000,0.5008
62.0000,0.5091
63.0000,0.4738
64.0000,0.4305
65.0000,0.4520
66.0000,0.4617
67.0000,0.4918
68.0000,0.5215
69.0000,0.5150
