round,cosine_ensemble_sim
1.0000,0.5487
2.0000,0.2508
3.0000,0.1523
4.0000,0.1161
5.0000,0.0944
6.0000,0.1030
7.0000,0.0713
8.0000,0.0699
9.0000,0.0721
10.0000,0.0965
11.0000,0.1088
12.0000,0.2040
13.0000,0.2281
14.0000,0.1544
15.0000,0.1226
16.0000,0.0776
17.0000,0.0858
18.0000,0.0951
19.0000,0.1150
20.0000,0.0918
21.0000,0.1978
22.0000,0.1906
23.0000,0.2037
24.0000,0.1957
25.0000,0.1964
26.0000,0.1168
27.0000,0.0952
28.0000,0.0969
29.0000,0.0600
30.0000,0.0607
31.0000,0.0440
32.0000,0.0403
33.0000,0.0400
34.0000,0.0461
35.0000,0.0662
36.0000,0.0858
37.0000,0.0920
38.0000,0.0878
39.0000,0.0944
40.0000,0.1215
41.0000,0.1231
42.0000,0.1277
43.0000,0.1751
44.0000,0.1308
45.0000,0.1065
46.0000,0.1057
47.0000,0.1143
48.0000,0.1212
49.0000,0.1149
50.0000,0.1031
51.0000,0.0842
52.0000,0.0903
53.0000,0.0790
54.0000,0.0885
55.0000,0.0987
56.0000,0.0961
57.0000,0.0925
58.0000,0.1004
59.0000,0.1974
60.0000,0.1820
61.0000,0.1867
62.0000,0.1877
63.0000,0.1117
64.0000,0.0871
65.0000,0.0814
66.0000,0.0830
67.0000,0.1011
68.0000,0.1187
69.0000,0.1152
70.0000,0.0660
71.0000,0.0924
72.0000,0.0930
73.0000,0.1924
74.0000,0.1862
75.0000,0.1085
76.0000,0.0998
77.0000,0.0939
78.0000,0.0930
79.0000,0.0739
80.0000,0.0662
81.0000,0.0655
82.0000,0.0800
83.0000,0.1063
84.0000,0.1156
85.0000,0.1040
86.0000,0.0770
87.0000,0.0618
88.0000,0.0821
89.0000,0.0852
90.0000,0.0873
91.0000,0.0880
92.0000,0.0460
93.0000,0.0803
94.0000,0.0894
95.0000,0.1906
96.0000,0.3467
97.0000,0.3466
98.0000,0.3347
99.0000,0.1616
