round,cosine_ensemble_sim
1.0000,0.2390
2.0000,0.2462
3.0000,0.2910
4.0000,0.2716
5.0000,0.3511
6.0000,0.3580
7.0000,0.2895
8.0000,0.3450
9.0000,0.2702
10.0000,0.2410
11.0000,0.2063
12.0000,0.2181
13.0000,0.2944
14.0000,0.4451
15.0000,0.5469
16.0000,0.5339
17.0000,0.5006
18.0000,0.3639
19.0000,0.3199
20.0000,0.2726
21.0000,0.2516
22.0000,0.2451
23.0000,0.1619
24.0000,0.2028
25.0000,0.2132
26.0000,0.3246
27.0000,0.3289
28.0000,0.2443
29.0000,0.2325
30.0000,0.1912
31.0000,0.1530
32.0000,0.1866
33.0000,0.3178
34.0000,0.4537
35.0000,0.5404
36.0000,0.5672
37.0000,0.5839
38.0000,0.5908
39.0000,0.5433
40.0000,0.4765
41.0000,0.3127
42.0000,0.2064
43.0000,0.2527
44.0000,0.2486
45.0000,0.3243
46.0000,0.3340
47.0000,0.2473
48.0000,0.2966
49.0000,0.3201
50.0000,0.4490
51.0000,0.5282
52.0000,0.4919
53.0000,0.4059
54.0000,0.2763
55.0000,0.2377
56.0000,0.2557
57.0000,0.2632
58.0000,0.2462
59.0000,0.2308
60.0000,0.1886
61.0000,0.1845
62.0000,0.2116
63.0000,0.2644
64.0000,0.2598
65.0000,0.2458
66.0000,0.2416
67.0000,0.1741
68.0000,0.1688
