client,round,global_local_cosine_sim
1,0,0.583516
1,10,0.930646
1,20,0.955581
1,30,0.954480
1,40,0.967030
1,50,0.996022
1,60,0.962760
1,70,0.996131
1,80,0.967953
1,90,0.993712
