round,cosine_ensemble_sim
1.0000,0.5870
2.0000,0.3689
3.0000,0.2469
4.0000,0.1829
5.0000,0.1641
6.0000,0.1578
7.0000,0.1537
8.0000,0.1707
9.0000,0.1506
10.0000,0.1591
11.0000,0.1239
12.0000,0.0898
13.0000,0.1087
14.0000,0.1128
15.0000,0.2560
16.0000,0.2788
17.0000,0.2784
18.0000,0.2995
19.0000,0.1555
20.0000,0.1595
21.0000,0.1067
22.0000,0.0998
23.0000,0.0754
24.0000,0.0742
25.0000,0.1003
26.0000,0.1023
27.0000,0.1302
28.0000,0.1012
29.0000,0.0955
30.0000,0.0976
31.0000,0.1324
32.0000,0.1304
33.0000,0.1282
34.0000,0.1165
35.0000,0.1118
36.0000,0.1247
37.0000,0.1111
38.0000,0.2097
39.0000,0.1374
40.0000,0.2134
41.0000,0.2324
42.0000,0.1471
43.0000,0.1281
44.0000,0.0910
45.0000,0.0655
46.0000,0.0701
47.0000,0.0681
48.0000,0.0958
49.0000,0.1102
50.0000,0.1134
51.0000,0.1149
52.0000,0.0879
53.0000,0.0888
54.0000,0.0865
55.0000,0.1177
56.0000,0.0902
57.0000,0.0895
58.0000,0.0880
59.0000,0.0921
60.0000,0.1257
61.0000,0.1254
62.0000,0.1291
63.0000,0.1274
64.0000,0.1144
65.0000,0.1117
66.0000,0.1200
67.0000,0.1223
68.0000,0.1265
69.0000,0.1240
70.0000,0.0823
71.0000,0.1048
72.0000,0.1019
73.0000,0.1000
74.0000,0.1039
75.0000,0.1033
76.0000,0.0909
77.0000,0.0903
78.0000,0.0859
79.0000,0.0920
80.0000,0.0911
81.0000,0.0981
82.0000,0.1142
83.0000,0.0851
84.0000,0.1349
85.0000,0.2325
86.0000,0.3716
87.0000,0.5873
88.0000,0.4534
89.0000,0.2337
90.0000,0.1141
91.0000,0.0578
92.0000,0.0561
93.0000,0.0570
94.0000,0.0876
95.0000,0.0863
96.0000,0.0869
97.0000,0.1099
98.0000,0.0975
99.0000,0.1135
