client,round,loss
1,0,2.639
1,1,1.432
1,2,1.016
1,3,0.825
1,4,0.651
1,5,0.545
1,6,0.496
1,7,0.436
1,8,0.371
1,9,0.32
1,10,0.272
1,11,0.246
1,12,0.212
1,13,0.178
1,14,0.149
1,15,0.156
1,16,0.128
1,17,0.115
1,18,0.117
1,19,0.081
1,20,0.083
1,21,0.083
1,22,0.082
1,23,0.057
1,24,0.062
1,25,0.065
1,26,0.055
1,27,0.046
1,28,0.058
1,29,0.044
1,30,0.052
1,31,0.043
1,32,0.038
1,33,0.048
1,34,0.036
1,35,0.034
1,36,0.032
1,37,0.033
1,38,0.033
1,39,0.03
1,40,0.027
1,41,0.025
1,42,0.033
1,43,0.027
1,44,0.024
1,45,0.021
1,46,0.023
1,47,0.019
1,48,0.018
1,49,0.016
1,50,0.021
1,51,0.02
1,52,0.018
