cosine_sim,student_norm,teacher_norm
0.8823,29.0904,26.1105
0.9168,28.5165,25.4347
0.9359,29.1611,29.2857
0.9265,29.1034,26.7520
0.9189,29.0134,26.3898
0.9309,29.0880,27.9090
0.9426,28.9859,30.2772
0.9357,28.9648,28.2043
0.9481,28.9913,27.7860
0.9437,29.0175,28.2178
0.9357,29.0817,28.4514
0.9384,28.8020,28.4521
0.9343,29.0278,28.5364
0.8934,28.8172,28.6399
0.9199,28.9407,28.9535
0.9174,28.7927,28.4099
0.8979,28.7835,27.4411
0.9362,28.8324,28.8675
0.9123,28.7593,28.5151
0.8873,28.8074,29.1990
0.9326,28.9121,27.5636
0.9358,28.9752,28.3940
0.9275,28.7126,27.4250
0.9425,28.8310,28.3441
0.9247,28.7805,27.9626
0.9506,28.6146,27.4998
0.9467,28.5260,27.2341
0.8982,28.7923,28.7433
0.9018,28.6853,27.9239
0.9195,28.5712,28.2965
0.9628,28.5822,28.3924
0.9391,28.6759,27.2410
0.9173,28.7251,27.1369
0.9123,28.5767,27.9696
0.8975,28.5111,27.8901
0.9237,28.6615,27.7946
0.9206,28.5783,28.0491
0.9166,28.6796,27.4355
