round,cosine_ensemble_sim
1.0000,0.6071
2.0000,0.4377
3.0000,0.2753
4.0000,0.2206
5.0000,0.2079
6.0000,0.1817
7.0000,0.1770
8.0000,0.1409
9.0000,0.0637
10.0000,0.0469
11.0000,0.0482
12.0000,0.0699
13.0000,0.1722
14.0000,0.2288
15.0000,0.3605
16.0000,0.3783
17.0000,0.3856
18.0000,0.3986
19.0000,0.1818
20.0000,0.1886
21.0000,0.1012
22.0000,0.0652
23.0000,0.0969
24.0000,0.0798
25.0000,0.0673
26.0000,0.0645
27.0000,0.0548
28.0000,0.0544
29.0000,0.0637
30.0000,0.0862
31.0000,0.1969
32.0000,0.1991
33.0000,0.1935
34.0000,0.2124
35.0000,0.2099
36.0000,0.1925
37.0000,0.1472
38.0000,0.2643
39.0000,0.1401
40.0000,0.2719
41.0000,0.3026
42.0000,0.1838
43.0000,0.1968
44.0000,0.0792
45.0000,0.0976
46.0000,0.0721
47.0000,0.0738
48.0000,0.1663
49.0000,0.1319
50.0000,0.1483
51.0000,0.1418
52.0000,0.0659
53.0000,0.0905
54.0000,0.0671
55.0000,0.0539
56.0000,0.0543
57.0000,0.0517
58.0000,0.0687
59.0000,0.0919
60.0000,0.1016
61.0000,0.1036
62.0000,0.1257
63.0000,0.1266
64.0000,0.0740
65.0000,0.0549
66.0000,0.1063
67.0000,0.1107
68.0000,0.1457
69.0000,0.1447
70.0000,0.0801
71.0000,0.1599
72.0000,0.1437
73.0000,0.1384
74.0000,0.1349
75.0000,0.1363
76.0000,0.1440
77.0000,0.1938
78.0000,0.1501
79.0000,0.1500
80.0000,0.1506
81.0000,0.1352
82.0000,0.1845
83.0000,0.1018
84.0000,0.1710
85.0000,0.3145
86.0000,0.4575
87.0000,0.5843
88.0000,0.5147
89.0000,0.3272
90.0000,0.1809
91.0000,0.1091
92.0000,0.0939
93.0000,0.1034
94.0000,0.1186
95.0000,0.1184
96.0000,0.1224
97.0000,0.1757
98.0000,0.1336
99.0000,0.1244
