round,cosine_sim
0.0000,0.3300
1.0000,0.6182
2.0000,0.0049
3.0000,0.0061
4.0000,0.0060
5.0000,0.0049
6.0000,0.0053
7.0000,0.0042
8.0000,0.0031
9.0000,0.0036
10.0000,0.0445
11.0000,0.0025
12.0000,0.0027
13.0000,0.0023
14.0000,0.0025
15.0000,0.0021
16.0000,0.0024
17.0000,0.0024
18.0000,0.0014
19.0000,0.0020
20.0000,0.1959
21.0000,0.0020
22.0000,0.0018
23.0000,0.0020
24.0000,0.0022
25.0000,0.0016
26.0000,0.0023
27.0000,0.0017
28.0000,0.0015
29.0000,0.0019
30.0000,0.0998
31.0000,0.0016
32.0000,0.0017
33.0000,0.0023
34.0000,0.0014
35.0000,0.0016
36.0000,0.0018
37.0000,0.0016
38.0000,0.0021
39.0000,0.0011
40.0000,0.6036
41.0000,0.0016
42.0000,0.0018
43.0000,0.0015
44.0000,0.0016
45.0000,0.0018
46.0000,0.0021
47.0000,0.0018
48.0000,0.0017
49.0000,0.0014
50.0000,0.0870
51.0000,0.0012
52.0000,0.0018
53.0000,0.0015
54.0000,0.0014
55.0000,0.0017
56.0000,0.0018
57.0000,0.0017
58.0000,0.0012
59.0000,0.0017
60.0000,0.2120
61.0000,0.0023
62.0000,0.0012
63.0000,0.0010
64.0000,0.0018
65.0000,0.0013
66.0000,0.0011
67.0000,0.0012
68.0000,0.0010
69.0000,0.0015
70.0000,0.1586
71.0000,0.0010
72.0000,0.0011
73.0000,0.0018
74.0000,0.0017
75.0000,0.0015
76.0000,0.0013
77.0000,0.0012
78.0000,0.0015
79.0000,0.0012
80.0000,0.1081
81.0000,0.0009
82.0000,0.0010
83.0000,0.0009
84.0000,0.0014
85.0000,0.0014
86.0000,0.0012
87.0000,0.0008
88.0000,0.0022
89.0000,0.0011
90.0000,0.1350
91.0000,0.0010
92.0000,0.0011
93.0000,0.0009
94.0000,0.0009
95.0000,0.0015
96.0000,0.0009
97.0000,0.0008
98.0000,0.0015
99.0000,0.0011
