round,cosine_ensemble_sim
1.0000,0.4783
2.0000,0.5250
3.0000,0.4851
4.0000,0.4683
5.0000,0.4468
6.0000,0.4280
7.0000,0.4245
8.0000,0.4204
9.0000,0.4228
10.0000,0.4454
11.0000,0.4490
12.0000,0.4340
13.0000,0.4147
14.0000,0.3980
15.0000,0.3740
16.0000,0.3671
17.0000,0.3480
18.0000,0.3405
19.0000,0.3516
20.0000,0.3860
21.0000,0.3818
22.0000,0.3933
23.0000,0.3835
24.0000,0.3755
25.0000,0.3758
26.0000,0.3836
27.0000,0.3858
28.0000,0.3886
29.0000,0.3940
30.0000,0.3902
31.0000,0.3748
32.0000,0.3593
33.0000,0.3525
34.0000,0.3511
35.0000,0.3295
36.0000,0.3377
37.0000,0.3447
38.0000,0.3230
39.0000,0.3205
40.0000,0.3212
41.0000,0.3161
42.0000,0.3028
43.0000,0.3084
44.0000,0.3130
45.0000,0.3418
46.0000,0.3556
47.0000,0.3448
48.0000,0.3306
49.0000,0.3271
50.0000,0.3377
51.0000,0.3297
52.0000,0.3172
53.0000,0.3306
54.0000,0.3446
55.0000,0.3424
56.0000,0.3407
57.0000,0.3402
58.0000,0.3433
59.0000,0.3415
60.0000,0.3516
61.0000,0.3599
62.0000,0.3565
63.0000,0.3681
64.0000,0.3736
65.0000,0.3784
66.0000,0.3509
67.0000,0.3389
68.0000,0.3336
69.0000,0.3350
70.0000,0.3259
71.0000,0.3157
72.0000,0.3127
73.0000,0.3107
74.0000,0.3097
75.0000,0.2923
76.0000,0.2981
77.0000,0.3017
78.0000,0.3058
79.0000,0.3010
80.0000,0.2977
81.0000,0.2959
82.0000,0.2919
83.0000,0.3010
84.0000,0.2934
85.0000,0.2716
86.0000,0.2608
87.0000,0.2174
88.0000,0.2123
89.0000,0.2372
90.0000,0.2597
91.0000,0.2837
92.0000,0.2917
93.0000,0.3123
94.0000,0.2988
95.0000,0.3014
96.0000,0.3028
97.0000,0.2860
98.0000,0.2783
99.0000,0.2743
