timestamp,dataset,rank1,mAP,loss
2025-07-18 15:24:50,2,0.5000,0.3708,0.0000
2025-07-18 15:43:03,2,0.5333,0.4001,0.0000
2025-07-18 16:05:38,2,0.5667,0.4251,0.0000
2025-07-18 16:29:26,2,0.5667,0.4203,0.0000
2025-07-18 16:53:18,2,0.5667,0.4278,0.0000
2025-07-18 17:14:46,2,0.5667,0.4199,0.0000
