round,cosine_ensemble_sim
1.0000,0.5031
2.0000,0.4083
3.0000,0.3536
4.0000,0.2903
5.0000,0.2732
6.0000,0.2522
7.0000,0.2848
8.0000,0.2970
9.0000,0.2968
10.0000,0.1951
11.0000,0.1329
12.0000,0.1189
13.0000,0.1149
14.0000,0.1236
15.0000,0.2464
16.0000,0.2406
17.0000,0.3362
18.0000,0.2756
19.0000,0.2328
20.0000,0.1369
21.0000,0.1215
22.0000,0.0780
23.0000,0.0670
24.0000,0.0654
25.0000,0.0532
26.0000,0.0644
27.0000,0.0685
28.0000,0.0826
29.0000,0.0669
30.0000,0.0691
31.0000,0.0691
32.0000,0.1034
33.0000,0.1057
34.0000,0.1170
35.0000,0.2290
36.0000,0.1950
37.0000,0.1797
38.0000,0.2886
39.0000,0.3997
40.0000,0.3976
41.0000,0.3918
42.0000,0.3836
43.0000,0.2600
44.0000,0.1890
45.0000,0.0745
46.0000,0.0492
47.0000,0.0481
48.0000,0.0707
49.0000,0.1012
50.0000,0.1347
51.0000,0.1930
52.0000,0.1784
53.0000,0.0958
54.0000,0.0525
55.0000,0.0603
56.0000,0.0629
57.0000,0.0659
58.0000,0.0592
59.0000,0.0531
60.0000,0.0634
61.0000,0.0511
62.0000,0.0508
63.0000,0.0676
64.0000,0.0726
65.0000,0.0591
66.0000,0.0627
67.0000,0.0896
68.0000,0.0917
69.0000,0.0954
70.0000,0.1087
71.0000,0.1207
72.0000,0.1121
73.0000,0.1490
74.0000,0.1495
75.0000,0.2650
76.0000,0.2145
77.0000,0.1493
78.0000,0.0997
79.0000,0.1724
80.0000,0.1045
81.0000,0.1086
82.0000,0.0987
83.0000,0.1091
84.0000,0.1147
85.0000,0.1749
86.0000,0.3136
87.0000,0.4845
88.0000,0.4977
89.0000,0.4572
90.0000,0.3051
91.0000,0.1163
92.0000,0.0397
93.0000,0.0428
94.0000,0.0386
95.0000,0.0392
96.0000,0.0446
97.0000,0.0721
98.0000,0.1017
99.0000,0.1059
