round,cosine_ensemble_sim
1.0000,0.0780
2.0000,0.3556
3.0000,0.4559
4.0000,0.4750
5.0000,0.5359
6.0000,0.5495
7.0000,0.5521
8.0000,0.5583
9.0000,0.5550
10.0000,0.5033
11.0000,0.4829
12.0000,0.3872
13.0000,0.3557
14.0000,0.4579
15.0000,0.4628
16.0000,0.5471
17.0000,0.5640
18.0000,0.4831
19.0000,0.4904
20.0000,0.4704
21.0000,0.3747
22.0000,0.3870
23.0000,0.3486
24.0000,0.3941
25.0000,0.3907
26.0000,0.4422
27.0000,0.4549
28.0000,0.4511
29.0000,0.5343
30.0000,0.5450
31.0000,0.5542
32.0000,0.5473
33.0000,0.5423
34.0000,0.5526
35.0000,0.5660
36.0000,0.5763
37.0000,0.5659
38.0000,0.5469
39.0000,0.5408
40.0000,0.5221
41.0000,0.5242
42.0000,0.5210
43.0000,0.5190
44.0000,0.5232
45.0000,0.5415
46.0000,0.5574
47.0000,0.5618
48.0000,0.5654
49.0000,0.4893
50.0000,0.4708
51.0000,0.4497
52.0000,0.4497
53.0000,0.5009
54.0000,0.5108
55.0000,0.5208
56.0000,0.5218
57.0000,0.5217
58.0000,0.4512
59.0000,0.3921
60.0000,0.3452
61.0000,0.3655
62.0000,0.3574
63.0000,0.4242
64.0000,0.4307
65.0000,0.4401
66.0000,0.4336
67.0000,0.4250
68.0000,0.4415
69.0000,0.4226
70.0000,0.4920
71.0000,0.4240
72.0000,0.4132
73.0000,0.3337
74.0000,0.3318
75.0000,0.4311
76.0000,0.4379
77.0000,0.5000
78.0000,0.4972
79.0000,0.4990
80.0000,0.4978
81.0000,0.5006
82.0000,0.4337
83.0000,0.4375
84.0000,0.4344
85.0000,0.4142
86.0000,0.4982
87.0000,0.5012
88.0000,0.4187
89.0000,0.4106
90.0000,0.3955
91.0000,0.3973
92.0000,0.4681
93.0000,0.4009
94.0000,0.4007
95.0000,0.2985
96.0000,0.1734
97.0000,0.1850
98.0000,0.1925
99.0000,0.3064
