cosine_sim,student_norm,teacher_norm
0.4494,28.5249,33.8097
0.4224,28.6775,35.6654
0.4148,28.8730,36.1184
0.4376,28.6213,34.8192
0.4231,28.6296,36.6358
0.4472,28.6850,35.4696
0.4520,28.4851,32.8296
0.4149,28.5893,35.5046
0.4477,28.6407,31.1573
0.4221,28.7305,34.4062
0.4251,28.6320,33.8703
0.4079,29.1249,33.0028
0.4456,28.3437,31.6975
0.4345,28.6842,36.3146
0.4382,28.6235,30.6447
0.4316,29.1093,34.1621
0.4239,29.0444,37.8044
0.4437,28.6839,36.6502
0.4187,28.6838,35.7163
0.4426,28.9144,37.3103
0.5772,28.9186,32.6973
0.5897,28.9406,30.5611
0.5781,28.6839,29.5402
0.6025,28.8621,29.5890
0.5714,28.9290,28.4014
0.5765,28.9423,28.6148
0.5805,28.6218,29.8640
0.5949,29.0452,27.6701
0.5816,28.9671,28.3629
0.5785,28.7660,27.7796
0.5759,28.8527,30.9149
0.5497,28.6184,28.4190
0.5774,28.6107,31.2044
0.5693,29.2847,27.0941
0.5745,29.0289,28.2035
0.6038,29.2692,30.4448
0.6092,29.2157,30.7442
0.5920,28.7686,27.4428
0.5679,29.0383,29.9473
0.5642,28.9076,29.0256
0.7129,28.7706,29.4416
0.7400,29.0935,30.5503
0.7018,28.8182,30.1432
0.6877,28.5344,28.7155
0.7145,28.9105,30.3858
0.7288,28.7139,32.0369
0.7126,28.8420,29.6800
0.7226,28.7541,31.2508
0.7086,28.8447,30.6507
0.7170,28.6735,29.1277
0.7236,28.8660,31.3115
0.7390,29.2024,31.4618
0.7210,29.0080,31.5165
0.6967,29.0415,28.9175
0.7388,29.0823,32.0861
0.7215,28.9460,29.6159
0.7124,28.7966,27.6171
0.7103,29.1302,29.2856
0.7277,28.7752,31.9614
0.7441,29.2437,30.1784
0.8076,28.7094,32.5101
0.8396,29.0678,30.7276
0.8241,29.0845,31.3712
0.8111,29.0067,28.7736
0.8295,28.9769,31.1910
0.8227,29.2197,31.0439
0.7949,28.9534,30.1522
0.8145,29.0482,29.8502
0.8127,28.8452,31.4312
0.8053,29.2368,29.2605
0.7793,29.1459,30.1041
0.8031,28.7552,30.3246
0.7836,28.7523,30.5299
0.7883,28.9482,27.9857
0.8231,28.7652,30.7544
0.8097,29.0346,30.3672
0.8331,29.1730,31.3269
0.8226,28.9846,31.4654
0.8036,29.1602,30.8221
0.8314,28.9729,31.8857
0.7288,28.8823,31.4152
0.7535,29.0071,31.4303
0.7182,28.5972,31.4798
0.7637,29.0807,31.5616
0.7425,28.8675,33.0888
0.7442,28.8672,32.1606
0.7344,28.7347,31.1757
0.7452,28.9064,31.6896
0.7551,28.8793,32.8252
0.7333,29.0324,31.9768
0.7421,28.5001,32.7594
0.7431,29.0084,30.6720
0.7626,29.2207,32.4184
0.7293,29.1817,32.5621
0.7784,29.0267,31.0204
0.7392,28.9140,31.6174
0.7592,28.7565,32.7661
0.7700,29.2428,33.9956
0.7295,28.7169,31.2421
0.7177,28.7253,28.3019
0.8436,29.0809,30.5123
0.8261,28.5244,29.8876
0.8297,28.5341,28.4258
0.8346,28.6311,30.2480
0.8412,28.8521,30.5465
0.8262,28.5509,29.1794
0.8435,28.5132,29.0907
0.8326,29.0076,29.3925
0.8512,29.2134,30.4307
0.8605,28.9990,31.2585
0.8296,28.8851,29.0204
0.8476,28.9923,30.4704
0.8109,28.8442,30.2103
0.8222,29.0758,31.1251
0.8566,28.7972,30.9734
0.8586,29.4301,30.7150
0.8468,28.8088,31.2450
0.8393,28.5758,32.4120
0.8398,28.9552,31.8115
0.8505,28.7330,30.2489
0.8769,28.6568,32.1377
0.8317,28.4006,29.0515
0.8705,28.9744,30.4848
0.8600,29.2338,31.0762
0.8600,28.6885,30.5938
0.8573,29.1855,28.6968
0.8455,28.6928,30.3679
0.8498,28.8833,29.8998
0.8231,28.5610,29.6337
0.8648,29.0103,30.1031
0.8727,29.2204,29.3354
0.8454,28.7820,29.3094
0.8654,29.2706,29.7175
0.8850,29.0718,31.8127
0.8461,28.7973,29.4530
0.8364,28.5803,29.0683
0.8428,28.8726,29.7753
0.8425,28.8604,29.0853
0.8320,28.4206,29.6087
0.8487,29.0322,28.4004
0.8866,28.8577,30.9305
0.8678,29.0276,29.4084
0.8801,29.1911,32.5762
0.8574,28.7272,30.7713
0.8773,28.8049,30.8710
0.8771,29.0064,32.1677
0.8357,28.5466,29.5641
0.8948,28.9792,32.4301
0.8741,28.7790,30.2862
0.8835,28.6078,31.4640
0.8620,28.5179,31.0698
0.8634,28.4462,29.5754
0.8876,28.8231,31.1318
0.8767,28.8367,31.0569
0.8512,28.8464,29.6347
0.8702,29.2134,28.7857
0.8536,28.8830,29.9164
0.8604,28.8963,29.9906
0.8544,28.7834,29.1925
0.8533,28.5979,29.8952
0.8345,28.8495,31.3247
0.8351,28.7031,29.6438
0.8451,28.6779,30.7951
0.8395,28.9104,31.2702
0.8443,28.9534,30.2486
0.8453,28.5505,29.3612
0.8441,28.6929,29.5941
0.8370,28.9711,29.5503
0.8674,28.7959,31.3797
0.8483,28.7583,30.7379
0.8578,28.9924,32.2892
0.8522,28.7505,29.1853
0.8602,29.0657,29.9263
0.8397,28.7143,27.9978
0.8316,29.0670,31.0528
0.8434,28.7140,29.9425
0.8429,28.6293,29.3144
0.8333,28.7796,29.5711
0.8382,28.8234,31.5230
0.8453,28.6181,30.0866
0.8653,28.5326,28.7053
0.8589,28.3263,29.0279
0.8782,28.7380,27.1883
0.8801,28.7711,27.5488
0.8683,28.6136,27.1799
0.8733,28.7408,28.4617
0.8563,28.4314,25.4172
0.8667,28.5044,27.3313
0.8396,28.6733,25.4972
0.8465,28.5429,25.9930
0.8837,28.8359,29.6762
0.8752,28.7563,28.8742
0.8425,28.8313,26.7616
0.8561,28.2668,27.1338
0.8408,28.1972,26.0166
0.8570,28.4082,26.4732
0.8642,28.6622,26.9649
0.8582,28.3782,28.6941
0.8746,28.7546,28.5272
0.8838,29.1320,27.6492
0.8645,28.3433,27.3594
0.8773,28.4570,26.9536
