round,cosine_sim
0.0000,0.2782
1.0000,0.5591
2.0000,0.0542
3.0000,0.0430
4.0000,0.0437
5.0000,0.0389
6.0000,0.0299
7.0000,0.0371
8.0000,0.0224
9.0000,0.0293
10.0000,0.2484
11.0000,0.0257
12.0000,0.0202
13.0000,0.0239
14.0000,0.0203
15.0000,0.0137
16.0000,0.0173
17.0000,0.0182
18.0000,0.0146
19.0000,0.0189
20.0000,0.0622
21.0000,0.0105
22.0000,0.0239
23.0000,0.0113
24.0000,0.0117
25.0000,0.0159
26.0000,0.0077
27.0000,0.0157
28.0000,0.0109
29.0000,0.0120
30.0000,0.1268
31.0000,0.0170
32.0000,0.0108
33.0000,0.0111
34.0000,0.0130
35.0000,0.0117
36.0000,0.0132
37.0000,0.0062
38.0000,0.0089
39.0000,0.0071
40.0000,0.6038
41.0000,0.0061
42.0000,0.0066
43.0000,0.0116
44.0000,0.0116
45.0000,0.0124
46.0000,0.0067
47.0000,0.0060
48.0000,0.0068
49.0000,0.0073
50.0000,0.1153
51.0000,0.0085
52.0000,0.0059
53.0000,0.0098
54.0000,0.0062
55.0000,0.0046
56.0000,0.0062
57.0000,0.0058
58.0000,0.0050
59.0000,0.0056
60.0000,0.0649
61.0000,0.0081
62.0000,0.0036
63.0000,0.0037
64.0000,0.0067
65.0000,0.0071
66.0000,0.0057
67.0000,0.0043
68.0000,0.0058
69.0000,0.0046
70.0000,0.2130
71.0000,0.0042
72.0000,0.0049
73.0000,0.0055
74.0000,0.0030
75.0000,0.0052
76.0000,0.0040
77.0000,0.0047
78.0000,0.0050
79.0000,0.0035
80.0000,0.2012
81.0000,0.0038
82.0000,0.0051
83.0000,0.0029
84.0000,0.0035
85.0000,0.0049
86.0000,0.0023
87.0000,0.0041
88.0000,0.0022
89.0000,0.0045
90.0000,0.2057
91.0000,0.0023
92.0000,0.0029
93.0000,0.0023
94.0000,0.0029
95.0000,0.0023
96.0000,0.0022
97.0000,0.0030
98.0000,0.0022
99.0000,0.0024
