cosine_sim,student_norm,teacher_norm
0.3973,29.2083,41.4750
0.3746,29.3293,42.2258
0.3806,29.4862,41.0717
0.3833,29.4363,43.7136
0.3815,29.4370,41.0892
0.3941,29.4664,41.9634
0.3829,29.4193,42.8308
0.3796,29.5521,40.7757
0.3769,29.7601,41.8806
0.3786,29.7522,39.5186
0.3877,29.6830,42.9208
0.3678,29.5039,47.9669
0.3659,29.6720,43.2500
0.3766,29.5669,40.4828
0.3900,29.2874,37.8806
0.3743,29.3716,39.3031
0.3891,29.9660,44.3135
0.3718,29.4424,45.6224
0.3649,29.5910,42.1915
0.3668,29.7947,46.4306
0.3638,29.4586,42.2945
0.3935,29.8334,42.4848
0.3719,29.9518,41.4528
0.3665,29.5520,41.3317
0.3955,29.4941,40.4708
0.3791,29.4999,47.9180
0.3693,29.4432,45.6307
0.3921,29.6033,41.2861
0.3731,29.7506,42.7701
0.3847,29.2983,41.3874
0.3806,29.3839,43.6223
0.3851,29.4835,44.1664
0.3741,29.6108,41.9768
0.3852,29.5351,41.8259
0.4069,29.3495,44.6743
0.3883,29.5040,39.3439
0.4597,29.7364,25.0855
0.4965,29.4977,27.2482
0.4974,29.3213,26.5763
0.4982,29.2270,28.0134
0.4620,29.1216,24.9618
0.4923,29.5080,24.3741
0.5570,29.3340,27.5952
0.5191,29.2017,28.2067
0.5384,29.5987,26.7992
0.4987,29.2295,28.3098
0.4976,29.5787,26.7545
0.4886,29.4840,28.0005
0.4751,29.2879,26.0005
0.5367,29.2307,30.6588
0.4769,29.3360,24.5603
0.5155,29.3998,27.8470
0.5394,29.2902,28.2576
0.4891,29.4391,26.0449
0.5058,29.3821,27.2044
0.4591,29.3257,24.9041
0.5185,29.5821,28.1468
0.4981,29.3641,27.0002
0.4971,29.4867,27.9500
0.4774,29.5573,26.4408
0.4827,29.4933,27.9844
0.5401,29.3116,29.0299
0.5217,29.2146,27.6122
0.4829,28.7760,26.5883
0.5127,29.5130,29.7988
0.5047,29.5951,27.9742
0.5208,28.8273,28.2477
0.5204,29.5561,26.7260
0.5007,29.4221,26.2354
0.5135,28.9392,28.5595
0.5031,29.2379,27.9072
0.5074,29.3477,26.5658
0.6966,29.1119,29.8409
0.6435,29.3254,27.7393
0.7063,29.4771,29.2508
0.6504,29.3455,27.5183
0.6662,29.0398,26.2837
0.6815,29.3259,26.9120
0.6749,29.2564,26.6816
0.6252,29.2354,25.8058
0.7427,29.7454,28.4446
0.6986,29.3281,28.3471
0.6631,29.4241,28.0870
0.6849,29.4687,30.2164
0.6654,29.7396,29.5361
0.6503,29.3695,27.1454
0.6925,29.3743,28.7718
0.7141,29.7058,29.9113
0.6742,29.6217,27.6905
0.6599,29.2889,25.1906
0.7000,29.2478,27.7151
0.6614,29.5487,28.0747
0.6804,29.6754,29.1473
0.7086,29.2717,28.8993
0.7096,29.6317,30.0424
0.6635,29.4712,29.6668
0.6456,29.2827,27.8369
0.6844,29.4146,27.6322
0.7047,29.4703,28.7021
0.7015,29.3846,28.8663
0.6885,29.3807,28.0858
0.7086,29.5604,29.0739
0.6420,28.9745,27.4395
0.6595,29.5363,28.0095
0.6698,29.4268,28.4678
0.6747,29.5759,28.1209
0.6867,29.4240,28.7804
0.6684,29.5408,26.8858
0.7819,29.1257,30.3810
0.8254,29.5565,31.9557
0.7998,29.4021,29.4295
0.7930,29.5618,30.0134
0.8043,29.4666,31.1361
0.7965,29.7527,34.1346
0.8148,29.6295,31.8131
0.8009,29.1629,30.3184
0.7952,29.2740,31.8357
0.7750,29.4298,32.1954
0.8022,29.3207,32.8734
0.7910,29.3425,31.3212
0.7675,29.4639,29.5153
0.8057,29.2632,32.0107
0.7959,29.4449,30.8355
0.8173,29.3794,33.4294
0.7780,29.1557,31.9084
0.8114,29.7540,32.6095
0.7760,29.5535,30.7432
0.8022,29.5325,31.0839
0.7895,29.8884,31.3144
0.7612,29.3686,29.8367
0.8073,29.2820,31.2313
0.7810,29.5687,30.8467
0.7861,29.4579,30.9822
0.7904,29.5518,33.7059
0.7959,29.5041,31.4558
0.7857,29.7046,30.1625
0.7815,29.5282,28.5601
0.7909,29.7117,31.9651
0.7828,29.3134,28.9004
0.7983,29.5022,31.0279
0.8026,29.5465,30.7769
0.7891,29.2144,32.1030
0.8078,29.6985,31.6171
0.8114,29.4255,32.3778
0.7075,29.3240,33.6488
0.6681,29.6482,28.3386
0.7233,29.4602,30.9038
0.7059,29.5753,31.2323
0.6929,29.4689,28.3289
0.7114,29.6127,29.9685
0.7219,29.6776,30.0273
0.6830,29.6097,30.9061
0.7066,29.7679,31.5537
0.6615,29.3662,28.2407
0.7173,29.7257,30.8982
0.6920,29.2455,30.2216
0.6815,29.4639,30.1809
0.7099,29.4185,29.7797
0.7021,29.3804,30.4329
0.6518,29.7820,27.9038
0.6670,29.3512,27.8855
0.6949,29.7462,30.9514
0.7039,29.3919,32.2670
0.7076,29.3667,30.5219
0.6986,29.7044,31.0010
0.6468,29.5454,28.1084
0.6725,29.4766,28.6122
0.7148,29.3248,30.7219
0.7111,29.5329,31.7130
0.6995,29.2249,31.0035
0.6711,29.1340,30.0526
0.6840,29.3955,29.5471
0.7203,29.3294,30.6433
0.6724,29.2100,29.0380
0.6887,29.1027,29.1240
0.6936,29.1300,28.4542
0.6734,29.3005,27.9647
0.7027,29.0565,31.0846
0.7059,29.5112,29.9024
0.6817,29.1513,30.1122
0.8296,29.5541,31.6556
0.8479,29.3608,32.1912
0.8093,29.3937,31.5908
0.8414,29.0038,30.4219
