client,round,loss
1,0,2.813
1,2,2.221
1,5,1.681
1,8,1.42
1,9,1.159
1,10,1.019
1,11,0.849
1,13,0.763
1,15,0.753
1,17,0.697
1,18,0.643
1,21,0.57
1,24,0.501
1,25,0.481
1,28,0.485
1,29,0.423
1,30,0.462
1,33,0.419
1,34,0.404
1,38,0.323
1,39,0.362
1,40,0.272
1,41,0.281
1,45,0.274
1,46,0.24
1,47,0.28
1,48,0.271
1,49,0.22
1,50,0.194
1,51,0.211
1,53,0.199
1,54,0.312
1,56,0.18
1,57,0.194
1,58,0.193
1,59,0.188
1,60,0.19
1,61,0.145
1,65,0.156
1,66,0.16
1,69,0.164
1,70,0.145
1,71,0.131
1,74,0.123
1,75,0.145
1,77,0.147
1,79,0.152
1,85,0.137
1,86,0.123
1,87,0.121
1,90,0.115
1,94,0.108
1,95,0.113
1,96,0.135
1,97,0.135
1,99,0.111
1,100,0.125
1,101,0.118
1,102,0.112
