client,round,global_local_cosine_sim
0,0,0.501445
0,10,0.928428
0,20,0.945968
0,30,0.974819
0,40,0.968701
0,50,0.956980
0,60,0.982016
0,70,0.958869
0,80,0.987531
0,90,0.967448
