client,round,global_local_cosine_sim
0,0,0.540330
0,10,0.900543
0,20,0.931451
0,30,0.933816
0,40,0.959754
0,50,0.939377
0,60,0.976492
0,70,0.967671
0,80,0.978073
0,90,0.968486
