round,experiment,score
1,kd_cdw,0.8182
1,reg,0.7273
2,kd_cdw,0.8182
2,reg,0.7273
3,kd_cdw,0.8182
3,reg,0.9091
4,kd_cdw,0.9091
4,reg,0.9091
5,kd_cdw,1.0
5,reg,0.8182
6,kd_cdw,1.0
6,reg,0.9091
7,kd_cdw,1.0
7,reg,0.9091
8,kd_cdw,0.9091
8,reg,0.9091
9,kd_cdw,0.9091
9,reg,1.0
