round,experiment,score
1,kd_cdw,0.6923
1,reg,0.9231
2,kd_cdw,0.8462
2,reg,0.8462
3,kd_cdw,0.9231
3,reg,0.9231
4,kd_cdw,0.9231
4,reg,0.9231
5,kd_cdw,1.0
5,reg,0.9231
6,kd_cdw,0.9231
6,reg,0.9231
7,kd_cdw,0.9231
7,reg,0.9231
8,kd_cdw,1.0
8,reg,0.9231
9,kd_cdw,0.9231
9,reg,0.9231
