round,experiment,score
1,kd_cdw,0.4932
1,reg,0.5102
2,kd_cdw,0.7441
2,reg,0.6766
3,kd_cdw,0.8024
3,reg,0.7213
4,kd_cdw,0.8106
4,reg,0.8127
5,kd_cdw,0.8466
5,reg,0.7736
6,kd_cdw,0.8473
6,reg,0.8576
7,kd_cdw,0.8342
7,reg,0.84
8,kd_cdw,0.8432
8,reg,0.8592
9,kd_cdw,0.8498
9,reg,0.8378
