round,experiment,score
1,kd_cdw,0.8462
1,reg,1.0
2,kd_cdw,0.9231
2,reg,1.0
3,kd_cdw,1.0
3,reg,0.9231
4,kd_cdw,1.0
4,reg,1.0
5,kd_cdw,1.0
5,reg,0.9231
6,kd_cdw,1.0
6,reg,0.9231
7,kd_cdw,1.0
7,reg,1.0
8,kd_cdw,1.0
8,reg,0.9231
9,kd_cdw,1.0
9,reg,1.0
