round,experiment,score
1,kd_cdw,0.7692
1,reg,0.6923
2,kd_cdw,0.9231
2,reg,0.9231
3,kd_cdw,0.9231
3,reg,0.9231
4,kd_cdw,0.9231
4,reg,0.9231
5,kd_cdw,0.9231
5,reg,0.9231
6,kd_cdw,0.9231
6,reg,0.9231
7,kd_cdw,0.9231
7,reg,0.9231
8,kd_cdw,0.9231
8,reg,0.9231
9,kd_cdw,0.9231
9,reg,0.9231
