round,experiment,score
1,kd_cdw,0.5815
1,reg,0.4874
2,kd_cdw,0.6778
2,reg,0.5994
3,kd_cdw,0.6672
3,reg,0.6865
4,kd_cdw,0.6335
4,reg,0.6169
5,kd_cdw,0.6661
5,reg,0.6258
6,kd_cdw,0.6943
6,reg,0.6883
7,kd_cdw,0.7089
7,reg,0.7198
8,kd_cdw,0.6968
8,reg,0.7549
9,kd_cdw,0.6922
9,reg,0.7362
