round,experiment,score
1,kd_cdw,0.4648
1,reg,0.4931
2,kd_cdw,0.614
2,reg,0.6063
3,kd_cdw,0.747
3,reg,0.6591
4,kd_cdw,0.8208
4,reg,0.7575
5,kd_cdw,0.8733
5,reg,0.8436
6,kd_cdw,0.8707
6,reg,0.7615
7,kd_cdw,0.8835
7,reg,0.8545
8,kd_cdw,0.8925
8,reg,0.7692
9,kd_cdw,0.8963
9,reg,0.8966
