round,experiment,score
1,kd_cdw,0.5263
1,reg,0.5238
2,kd_cdw,0.5904
2,reg,0.5339
3,kd_cdw,0.7535
3,reg,0.6686
4,kd_cdw,0.8332
4,reg,0.7786
5,kd_cdw,0.8091
5,reg,0.7351
6,kd_cdw,0.8334
6,reg,0.7878
7,kd_cdw,0.8598
7,reg,0.79
8,kd_cdw,0.8649
8,reg,0.8402
9,kd_cdw,0.8755
9,reg,0.8206
