round,experiment,score
1,kd_cdw,0.4736
1,reg,0.4046
2,kd_cdw,0.7289
2,reg,0.6681
3,kd_cdw,0.7388
3,reg,0.6784
4,kd_cdw,0.7852
4,reg,0.6969
5,kd_cdw,0.8028
5,reg,0.7628
6,kd_cdw,0.7805
6,reg,0.7707
7,kd_cdw,0.8314
7,reg,0.8
8,kd_cdw,0.8246
8,reg,0.7746
9,kd_cdw,0.8331
9,reg,0.8067
