client,round,global_local_cosine_sim
1,0,0.543615
1,10,0.929863
1,20,0.944370
1,30,0.938285
1,40,0.959156
1,50,0.996360
1,60,0.962234
1,70,0.996472
1,80,0.963902
1,90,0.996199
