client,round,loss
1,0,2.971
1,1,2.839
1,2,2.719
1,3,2.606
1,4,2.487
1,5,2.391
1,6,2.281
1,7,2.19
1,8,2.118
1,9,2.026
1,10,1.946
1,11,1.915
1,12,1.829
1,13,1.773
1,14,1.716
1,15,1.664
1,16,1.613
1,17,1.539
1,18,1.489
1,19,1.442
1,20,1.414
1,21,1.366
1,22,1.345
1,23,1.293
1,24,1.3
1,25,1.246
1,26,1.23
1,27,1.168
1,28,1.173
1,29,1.101
1,30,1.094
1,31,1.081
1,32,1.066
1,33,1.035
1,34,1.023
1,35,0.965
1,36,0.953
1,37,0.978
1,38,0.97
1,39,0.905
1,40,0.865
1,41,0.869
1,42,0.865
1,43,0.844
1,44,0.843
1,45,0.852
1,46,0.803
1,47,0.83
1,48,0.784
1,49,0.734
