round,cosine_ensemble_sim
1.0000,0.5573
2.0000,0.3956
3.0000,0.2674
4.0000,0.2382
5.0000,0.1170
6.0000,0.1145
7.0000,0.1406
8.0000,0.1405
9.0000,0.1408
10.0000,0.1974
11.0000,0.2091
12.0000,0.3086
13.0000,0.3350
14.0000,0.2546
15.0000,0.2307
16.0000,0.1445
17.0000,0.1358
18.0000,0.1870
19.0000,0.1605
20.0000,0.1919
21.0000,0.3123
22.0000,0.2987
23.0000,0.3241
24.0000,0.3130
25.0000,0.3089
26.0000,0.2351
27.0000,0.1859
28.0000,0.1761
29.0000,0.1234
30.0000,0.1253
31.0000,0.1649
32.0000,0.1717
33.0000,0.1728
34.0000,0.1725
35.0000,0.1795
36.0000,0.1912
37.0000,0.1622
38.0000,0.1205
39.0000,0.1089
40.0000,0.0667
41.0000,0.0645
42.0000,0.0705
43.0000,0.0474
44.0000,0.0654
45.0000,0.1086
46.0000,0.1497
47.0000,0.1954
48.0000,0.2077
49.0000,0.2273
50.0000,0.2200
51.0000,0.2139
52.0000,0.1827
53.0000,0.0882
54.0000,0.0847
55.0000,0.0999
56.0000,0.1057
57.0000,0.1045
58.0000,0.1520
59.0000,0.2570
60.0000,0.2869
61.0000,0.3106
62.0000,0.3107
63.0000,0.2437
64.0000,0.2277
65.0000,0.2222
66.0000,0.2249
67.0000,0.2410
68.0000,0.2481
69.0000,0.2431
70.0000,0.1547
71.0000,0.1976
72.0000,0.1977
73.0000,0.2944
74.0000,0.2940
75.0000,0.1545
76.0000,0.1433
77.0000,0.1037
78.0000,0.1005
79.0000,0.1293
80.0000,0.1346
81.0000,0.1391
82.0000,0.2118
83.0000,0.2340
84.0000,0.2412
85.0000,0.2303
86.0000,0.1957
87.0000,0.1757
88.0000,0.2104
89.0000,0.2164
90.0000,0.2180
91.0000,0.1838
92.0000,0.1231
93.0000,0.1780
94.0000,0.1903
95.0000,0.3113
96.0000,0.4303
97.0000,0.4292
98.0000,0.4220
99.0000,0.2836
