round,cosine_sim
0.0000,0.3289
1.0000,0.5545
2.0000,0.0411
3.0000,0.0317
4.0000,0.0219
5.0000,0.0146
6.0000,0.0164
7.0000,0.0132
8.0000,0.0193
9.0000,0.0184
10.0000,0.5645
11.0000,0.0196
12.0000,0.0180
13.0000,0.0144
14.0000,0.0127
15.0000,0.0142
16.0000,0.0093
17.0000,0.0213
18.0000,0.0151
19.0000,0.0143
20.0000,0.1809
21.0000,0.0133
22.0000,0.0093
23.0000,0.0147
24.0000,0.0085
25.0000,0.0115
26.0000,0.0117
27.0000,0.0119
28.0000,0.0082
29.0000,0.0086
30.0000,0.2261
31.0000,0.0102
32.0000,0.0122
33.0000,0.0119
34.0000,0.0110
35.0000,0.0072
36.0000,0.0075
37.0000,0.0058
38.0000,0.0094
39.0000,0.0074
40.0000,0.0531
41.0000,0.0063
42.0000,0.0050
43.0000,0.0060
44.0000,0.0050
45.0000,0.0082
46.0000,0.0060
47.0000,0.0096
48.0000,0.0070
49.0000,0.0064
50.0000,0.1932
51.0000,0.0090
52.0000,0.0068
53.0000,0.0072
54.0000,0.0035
55.0000,0.0045
56.0000,0.0050
57.0000,0.0039
58.0000,0.0031
59.0000,0.0078
60.0000,0.2227
61.0000,0.0079
62.0000,0.0061
63.0000,0.0039
64.0000,0.0047
65.0000,0.0045
66.0000,0.0044
67.0000,0.0034
68.0000,0.0054
69.0000,0.0045
70.0000,0.0531
71.0000,0.0040
72.0000,0.0030
73.0000,0.0048
74.0000,0.0041
75.0000,0.0042
76.0000,0.0037
77.0000,0.0049
78.0000,0.0048
79.0000,0.0027
80.0000,0.1793
81.0000,0.0039
82.0000,0.0060
83.0000,0.0025
84.0000,0.0039
85.0000,0.0039
86.0000,0.0031
87.0000,0.0024
88.0000,0.0026
89.0000,0.0039
90.0000,0.1479
91.0000,0.0030
92.0000,0.0030
93.0000,0.0031
94.0000,0.0035
95.0000,0.0025
96.0000,0.0026
97.0000,0.0033
98.0000,0.0033
99.0000,0.0029
